,customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0,7590-VHVEG,Female,0,True,False,1,False,,DSL,False,True,False,False,False,False,Month-to-month,True,Electronic check,29.850000381469727,29.850000381469727,False
1,5575-GNVDE,Male,0,False,False,34,True,False,DSL,True,False,True,False,False,False,One year,False,Mailed check,56.95000076293945,1889.5,False
2,3668-QPYBK,Male,0,False,False,2,True,False,DSL,True,True,False,False,False,False,Month-to-month,True,Mailed check,53.84999847412109,108.1500015258789,True
3,7795-CFOCW,Male,0,False,False,45,False,,DSL,True,False,True,True,False,False,One year,False,Bank transfer (automatic),42.29999923706055,1840.75,False
4,9237-HQITU,Female,0,False,False,2,True,False,Fiber optic,False,False,False,False,False,False,Month-to-month,True,Electronic check,70.69999694824219,151.64999389648438,True
5,9305-CDSKC,Female,0,False,False,8,True,True,Fiber optic,False,False,True,False,True,True,Month-to-month,True,Electronic check,99.6500015258789,820.5,True
6,1452-KIOVK,Male,0,False,True,22,True,True,Fiber optic,False,True,False,False,True,False,Month-to-month,True,Credit card (automatic),89.0999984741211,1949.4000244140625,False
7,6713-OKOMC,Female,0,False,False,10,False,,DSL,True,False,False,False,False,False,Month-to-month,False,Mailed check,29.75,301.8999938964844,False
8,7892-POOKP,Female,0,True,False,28,True,True,Fiber optic,False,False,True,True,True,True,Month-to-month,True,Electronic check,104.8000030517578,3046.050048828125,True
9,6388-TABGU,Male,0,False,True,62,True,False,DSL,True,True,False,False,False,False,One year,False,Bank transfer (automatic),56.150001525878906,3487.949951171875,False
10,9763-GRSKD,Male,0,True,True,13,True,False,DSL,True,False,False,False,False,False,Month-to-month,True,Mailed check,49.95000076293945,587.4500122070312,False
